news_source,mfch_rating,allsides_url,url,bias_rating,twitter_link,twitter_user,twitter_user2,is_tweet,instagram_user,instagram_user2,gov_official,uncertainty,comments,html_files,actor,status_edrev,status_commfeed,count_commfeed,status_blind,status_third,sources_third,confidence
Desiring God,,https://www.allsides.com/news-source/desiring-god-media-bias,https://www.desiringgod.org/,74,https://twitter.com/desiringGod?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,desiringGod,NA,1,NA,NA,NA,NA,NA,Desiring God.html,News Media,checked0,checked1,91,checked0,checked0,NA,Low or Initial Rating
DetectFakeNews.com,,https://www.allsides.com/news-source/detectfakenewscom-media-bias,https://faculty.lsu.edu/fakenews/index.php,73,https://twitter.com/detectfakenews,detectfakenews,NA,1,NA,NA,NA,NA,NA,DetectFakeNews.com.html,Reference,checked0,checked1,95,checked0,checked0,NA,Low or Initial Rating
Detroit Free Press,LEFT-CENTER,https://www.allsides.com/news-source/detroit-free-press,http://www.freep.com/,72,https://twitter.com/freep?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,freep,NA,1,NA,NA,NA,NA,NA,Detroit Free Press.html,News Media,checked0,checked1,661,checked0,checked0,NA,Low or Initial Rating
Detroit News,RIGHT-CENTER,https://www.allsides.com/news-source/detroit-news,http://www.detroitnews.com/,73,https://twitter.com/@detroitnews,detroitnews,NA,1,detroitnews,NA,NA,NA,NA,Detroit News.html,News Media,checked0,checked1,481,checked0,checked0,NA,Low or Initial Rating
Deutsche Welle,LEFT-CENTER,https://www.allsides.com/news-source/deutsche-welle-media-bias,https://www.dw.com/,73,https://twitter.com/dwnews?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,dwnews,NA,1,NA,NA,NA,NA,NA,Deutsche Welle.html,News Media,checked0,checked1,93,checked0,checked0,NA,Low or Initial Rating
Diamond and Silk,,https://www.allsides.com/news-source/diamond-and-silk-media-bias,NA,75,https://twitter.com/DiamondandSilk?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,DiamondandSilk,NA,1,NA,NA,NA,NA,NA,Diamond and Silk.html,Author,checked0,checked1,322,checked0,checked0,NA,Low or Initial Rating
Dick Locher (cartoonist),,https://www.allsides.com/news-source/dick-locher-cartoonist,NA,75,NA,NA,NA,0,NA,NA,NA,NA,NA,Dick Locher (cartoonist).html,Author,checked0,checked1,176,checked0,checked0,NA,na
Dick Morris,,https://www.allsides.com/news-source/dick-morris,NA,74,https://twitter.com/DickMorrisTweet?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,DickMorrisTweet,NA,1,NA,NA,NA,NA,NA,Dick Morris.html,Author,checked0,checked1,575,checked0,checked0,NA,na
Diplomatic Courier,,https://www.allsides.com/news-source/diplomatic-courier,http://www.diplomaticourier.com/,73,https://twitter.com/diplocourier,diplocourier,NA,1,diplocourier,NA,NA,NA,NA,Diplomatic Courier.html,News Media,checked0,checked1,743,checked0,checked0,NA,Medium
Divided We Fall,,https://www.allsides.com/news-source/divided-we-fall-media-bias,https://dividedwefall.com/,2707,https://twitter.com/dividedwefall42,dividedwefall42,NA,1,dividedwefall42,NA,NA,NA,NA,Divided We Fall.html,News Media,checked0,checked0,33,checked0,checked0,NA,Low or Initial Rating
Donald Trump,,https://www.allsides.com/news-source/donald-trump,NA,75,NA,NA,NA,0,NA,NA,NA,NA,NA,Donald Trump.html,"Candidate, Campaign or Advocate",checked0,checked1,1157,checked0,checked0,NA,Low or Initial Rating
Dr. Abdul El-Sayed,,https://www.allsides.com/news-source/dr-abdul-el-sayed-media-bias,NA,71,https://twitter.com/AbdulElSayed?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,AbdulElSayed,NA,1,NA,NA,NA,NA,NA,Dr. Abdul El-Sayed.html,Author,checked0,checked1,106,checked0,checked0,NA,Low or Initial Rating
Dr. Ben Carson,,https://www.allsides.com/news-source/dr-ben-carson-media-bias,NA,74,https://twitter.com/RealBenCarson?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,RealBenCarson,SecretaryCarson,1,NA,NA,1,NA,NA,Dr. Ben Carson.html,Author,checked0,checked0,74,checked0,checked0,NA,Low or Initial Rating
Drew Litton (cartoonist),,https://www.allsides.com/news-source/drew-litton-cartoonist,NA,73,https://twitter.com/drewlitton,DrewLitton,NA,1,NA,NA,NA,NA,NA,Drew Litton (cartoonist).html,Author,checked0,checked1,200,checked0,checked0,NA,na
Drew Sheneman (cartoonist),,https://www.allsides.com/news-source/drew-sheneman-cartoonist,NA,71,NA,NA,NA,0,NA,NA,NA,NA,NA,Drew Sheneman (cartoonist).html,Author,checked0,checked1,223,checked0,checked0,NA,na
Drudge Report,RIGHT-CENTER,https://www.allsides.com/news-source/drudge-report,http://www.drudgereport.com/,74,https://twitter.com/drudgereport,drudgereport,NA,1,drudgenews,NA,NA,NA,NA,Drudge Report.html,News Media,checked0,checked1,4495,checked0,checked1,"Third-Party Analysis: 2014 Pew Research Center Study - Where News Audiences Fit on the Political Spectrum, UCLA 2005",Medium
