"","X.x","image","img_name_noext","clusterid","selected","tweet_id","X.y","author_id","text","created_at.x","location","name","username","actor","allsides_url","bias_rating","ideology"
"50",311,"1350166070464753664.jpg","1350166070464753664",1,1,"1350166070464753664",5040,17469289,"Migrant caravan on the move in Honduras in uncertain times https://t.co/Petu5m956o https://t.co/XdpHbMHQ0V","2021-01-15T19:40:50.000Z","New York, NY","New York Post","nypost","News Media","https://www.allsides.com/news-source/new-york-post",74,"Moderate
Conservative"
"51",321,"1350551463244783617.jpg","1350551463244783617",3,1,"1350551463244783617",5039,17469289,"Clashes reported as migrant caravan attempts to cross into Guatemala https://t.co/OLU0Ym4MZB https://t.co/PHYt2UQYWM","2021-01-16T21:12:15.000Z","New York, NY","New York Post","nypost","News Media","https://www.allsides.com/news-source/new-york-post",74,"Moderate
Conservative"
"52",341,"989836601973989376.jpg","989836601973989376",3,1,"989836601973989376",5498,2884771,"Hundreds of Americans are opening their homes to asylum seekers traveling with the ""migrant caravan"" https://t.co/ikx8nI4LdW https://t.co/6mzakkH3yn","2018-04-27T12:00:10.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"53",348,"1071147106608406528.jpg","1071147106608406528",0,1,"1071147106608406528",4177,14148802,"Readers React | Stock market drops, migrant caravan and more in Top Comments https://t.co/I78tnElDdq https://t.co/NtaNbFFG6v","2018-12-07T20:59:05.000Z","San Diego, CA","The San Diego Union-Tribune","sdut","News Media","https://www.allsides.com/news-source/san-diego-union-tribune-media-bias-0",72," Moderate
Liberal"
"54",353,"1065984722826858496.jpg","1065984722826858496",0,1,"1065984722826858496",3783,15754281,"The mayor of Tijuana declared an international humanitarian crisis on Thursday over the arrival of more than 5,000 mostly Central American migrants traveling in a caravan. https://t.co/dHDBiPzqtP https://t.co/A02vub8sS3","2018-11-23T15:05:37.000Z","USA TODAY HQ, McLean, Va.","USA TODAY","USATODAY","News Media","https://www.allsides.com/news-source/usa-today-media-bias",72," Moderate
Liberal"
"55",376,"991026226776207363_2.jpg","991026226776207363_2",0,1,"991026226776207363",3279,16664681,"The migrant caravan arrives at California's doorstep, amid protests, cheers and questions https://t.co/fip916GEIT https://t.co/ri3dhW8XdG","2018-04-30T18:47:19.000Z","El Segundo, CA","Los Angeles Times","latimes","News Media","https://www.allsides.com/news-source/los-angeles-times-bias",72," Moderate
Liberal"
"56",378,"1053001463864197121.jpg","1053001463864197121",1,1,"1053001463864197121",4646,39308549,"Trump Threatens To Close Southern Border, Halt Aid In An Effort To Stop Central American Migrant Caravans From Crossing Into US https://t.co/cd1Hxt1U8I https://t.co/f3YvEoXTJV","2018-10-18T19:14:47.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"57",386,"1060936112770813952_1.jpg","1060936112770813952_1",1,1,"1060936112770813952",3835,6577642,"Following the migrant caravan, in photos: https://t.co/3kGmFhkylk https://t.co/itar52XVuG","2018-11-09T16:44:15.000Z","Washington, D.C.","U.S. News & World Report","usnews","News Media","https://www.allsides.com/news-source/us-news-and-world-report",72," Moderate
Liberal"
"58",388,"1057444625194061824.jpg","1057444625194061824",1,1,"1057444625194061824",2079,19417492,"If you believe that America is and should remain a nation of laws and borders, there is a relatively simple, firm way to respond to migrant caravans. https://t.co/Pj1p5aAYwo via @DavidAFrench https://t.co/7e5Y9ifbMI","2018-10-31T01:30:19.000Z","New York","National Review","NRO",NA,NA,NA,NA
"59",402,"1074084230718738432.jpg","1074084230718738432",2,1,"1074084230718738432",5105,2884771,"Migrant caravan refugees live on Tijuana streets because they don't want to be far from the border, UNICEF says https://t.co/XVybypXZsl https://t.co/cOA2G6c5S1","2018-12-15T23:30:10.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
